domainID,siteID
D16,ABBY
D10,ARIK
D03,BARC
D18,BARR
D01,BART
D17,BIGC
D02,BLAN
D12,BLDE
D11,BLUE
D08,BLWA
D19,BONA
D19,CARI
D11,CLBJ
D13,COMO
D10,CPER
D05,CRAM
D04,CUPE
D09,DCFS
D19,DEJU
D08,DELA
D03,DSNY
D03,FLNT
D07,GRSM
D04,GUAN
D04,GUIL
D01,HARV
D19,HEAL
D01,HOPB
D03,JERC
D14,JORN
D06,KING
D06,KONA
D06,KONZ
D04,LAJA
D07,LECO
D08,LENO
D02,LEWI
D05,LIRO
D16,MART
D08,MAYF
D06,MCDI
D16,MCRA
D07,MLBS
D13,MOAB
D13,NIWO
D09,NOGP
D11,OAES
D18,OKSR
D15,ONAQ
D07,ORNL
D03,OSBS
D02,POSE
D11,PRIN
D09,PRLA
D09,PRPO
D20,PUUM
D15,REDB
D10,RMNP
D02,SCBI
D02,SERC
D17,SJER
D17,SOAP
D14,SRER
D05,STEI
D10,STER
D03,SUGG
D14,SYCA
D08,TALL
D17,TEAK
D17,TECR
D08,TOMB
D18,TOOK
D18,TOOL
D05,TREE
D06,UKFS
D05,UNDE
D07,WALK
D13,WLOU
D09,WOOD
D16,WREF
D12,YELL
